artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine,accessionNumber
Mobile,Lodewijk Karel Bruckman,American,1903,1980,1955,Oil on canvas,"H. 16-7/8, W. 30 inches (42.9 x 76.2 cm.)",Paintings,"Gift of Benjamin A. Javits, 1956",56.208
Old Spanish Woman,Leopold Seyffert,American,1887,1956,1914,Oil on canvas,"H. 38-1/4, W. 36 inches (97.2 x 91.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1927",27.62
William Gwynn,Thomas Sully,American,1783,1872,1821,Oil on canvas,23 1/4 x 19 1/2 in. (59.1 x 49.5 cm),Paintings,"Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894",94.23.1
Spring Shower (Western Kansas Landscape),John Steuart Curry,American,1897,1946,1931,Oil on canvas,"H. 29-7/8, W. 43-7/8 inches (75.9 x 111.4 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1932",32.84
Design for window,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, graphite, gouache and black ink on paper mounted on board in original double matt",Overall: 24 1/8 x 11 1/8 in. (61.3 x 28.3 cm) Other (Design): 16 1/2 x 4 9/16 in. (41.9 x 11.6 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.435
Design for lampshade,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, and graphite on paper",Overall: 17 x 11 3/8 in. (43.2 x 28.9 cm) Other (Design): 15 5/8 x 9 1/8 in. (39.7 x 23.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.421
Mrs. John Biddle (Eliza Falconer Bradish),Thomas Sully,American,1783,1872,1818,Oil on canvas,30 x 24 7/8 in. (76.2 x 63.2 cm),Paintings,"Gift of General John Biddle, 1924",24.115.2
Many Saudi Women Live Recklessly Under Theatrical Clothes,Gayil Nalls,American,1953,0,1981,Oil on handmade paper,"H. 14, W. 17 inches (35.6 x 43.2 cm.)",Drawings,"Purchase, Dr. Robert E. Carroll Gift, 1983",1983.589
Table with Figs and Lemons,Carlyle Brown,American,1919,1963,1952,Oil on canvas,"H. 27-1/2, W. 36-1/2 inches (69.9 x 92.7 cm.)",Paintings,"George A. Hearn Fund, 1952",52.162
"The Margrave, the Prince[ss] and the Hermit (from Sketchbook)",James McNeill Whistler,American,1834,1903,1855,Brown and black ink and pink gouache on dark off-white-tan wove paper,3 1/4 x 3 5/8 in. (8.3 x 9.2 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",1970.121.36
Portrait of a Lady,Nathaniel Rogers,American,1788,1844,0,Watercolor on ivory in green leatherette case with velvet lining,3 x 2 3/8 in. (7.6 x 6 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.171
Juliet,Fletcher Martin,American,1904,1979,1939,Gouache on cardboard,"H. 20, W. 26 inches (50.8 x 66 cm.)",Drawings,"George A. Hearn Fund, 1940",40.124.2
Monhegan Theme,Lamar Dodd,American,1909,1996,1949,Oil on canvas,"H. 24, W. 36 inches (61 x 91.5 cm.)",Paintings,"George A. Hearn Fund, 1951",51.98
Portrait of a Girl with Flowers,Samuel Lovett Waldo,MetDoesntKnow,1783,1861,1835,Oil on wood,40 7/8 x 31 3/4 in. (103.8 x 80.6 cm),Paintings,"Bequest of Elsa Welles Wray, 1973",1973.123
"Winter Sunrise, Monadnock",Abbott H. Thayer,American,1849,1921,1917,Oil on canvas,54 3/8 x 63 3/8 in. (138.1 x 161 cm),Paintings,"George A. Hearn Fund, 1917",17.180.1
The Shoemaker,Jacob Lawrence,American,1917,2000,1945,Watercolor and gouache on paper,"H. 22 3/4, W. 31 in. (57.8 x 78.7 cm)",Drawings,"George A. Hearn Fund, 1946",46.73.2
"Bali, Bazaar with Coconut Palms",Maurice Sterne,American,1878,1957,1912,Oil on canvas,"H. 38-1/2, W. 28-1/2 inches (97.8 x 72.4 cm.)",Paintings,"George A. Hearn Fund, 1936",36.43
Sarah Annis Sully,Thomas Sully,American,1783,1872,1802,Watercolor on ivory,1 7/8 x 1 7/8 in. (4.8 x 4.8 cm),Paintings,"Fletcher Fund, 1928",28.169.1
The Hermit (Il solitario),John Singer Sargent,American,1856,1925,1908,Oil on canvas,37 3/4 x 38 in. (95.9 x 96.5 cm),Paintings,"Rogers Fund, 1911",11.31
The Photographer,Jacob Lawrence,American,1917,2000,1942,"Watercolor, gouache, and graphite on paper","H. 22 1/8, W. 30 1/2 in. (56.2 x 77.5 cm)",Drawings,"Purchase, Lila Acheson Wallace Gift, 2001",2001.205
Scene on the Mersey,James McNeill Whistler,American,1834,1903,0,Watercolor and gouache on white wove paper,8 1/2 x 4 7/8 in. (21.6 x 12.4 cm),Drawings,"Harris Brisbane Dick Fund, 1917",17.97.4
Woman in a Rocker,Franz Kline,American,1910,1962,1945,Oil on canvas,"H. 16-1/8, W. 14 inches (41 x 35.6 cm)",Paintings,"Gift of Rufus F. Zogbaum, 1998",1998.446.2
Dance桿plift,Arthur B. Davies,American,1862,1928,1928,Wax on canvas,24 x 18 in. (61 x 45.7 cm),Paintings,"Bequest of Lillie P. Bliss, 1931",31.67.6
Portrait of a Lady,Nathaniel Rogers,American,1788,1844,1820,Watercolor on ivory,2 15/16 x 2 3/8 in. (7.5 x 6 cm),Paintings,"Purchase, Bequest of Antoinette D. T. Throckmorton, by exchange, 1985",1985.141.9
"David Sears, Jr.",Gilbert Stuart,American,1755,1828,1815,Oil on canvas,27 1/4 x 23 1/2 in. (69.2 x 59.7 cm),Paintings,"Gift of Several Gentleman, 1881",81.12
Design for a mosaic panel,Louis Comfort Tiffany,American,1848,1933,0,"Watercolor, gouache, pen and gold metallic ink, and graphite on artist board in original matt",Overall: 22 7/16 x 14 3/8 in. (57 x 36.5 cm) Design: 14 15/16 x 7 11/16 in. (38 x 19.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.18
Acrobat in Red and Green,Walt Kuhn,American,1877,1949,1942,Oil on canvas,"H. 24-1/4, W. 20-1/4 inches (71.6 x 51.5 cm.)",Paintings,"George A. Hearn Fund, 1950",50.28.3
Parallel Forms II,Albert Eugene Gallatin,American,1881,1952,1941,Oil on canvas,"H. 50, W. 35 inches (127 x 89 cm.)",Paintings,"Gift of R. Thornton Wilson, 1952",52.174
"Design for two windows, 'Te Deum Laudamus'",Frederick Wilson 1858-1932,MetDoesntKnow,1858,1932,1900,"Watercolor and gouache in grisaille, pen and white ink, and graphite",Overall: 11 1/4 x 12 1/8 in. (28.6 x 30.8 cm) Design: 6 1/4 x 3 9/16 in. (15.9 x 9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.456
'Is There Anything to be Frightened of Miss Alice?' 'Always.',Rex Lau,American,1947,0,1981,Oil on canvas,"H. 72, W. 56 inches (182.9 x 142.2 cm.)",Paintings,"Purchase, Louis and Bessie Adler Foundation, Inc. Gift (Seymour M. Klein, President), 1982",1982.26.1
Mrs. Benjamin Simons,Henry Benbridge,MetDoesntKnow,1743,1812,1776,Oil on canvas,29 7/8 x 25 in. (75.5 x 63.5 cm),Paintings,"Fletcher Fund, 1929",29.58
Farmhouse,James Preston,American,1873,1962,1950,Oil on wood,20 11/16 x 26 11/16 in. (52.5 x 67.8 cm),Paintings,"Gift of Mrs. William G. Maguire, in memory of her uncle, James Preston, 1965",65.17
"Philosophy: A Preparation for the Mural in the Museum of Fine Arts, Boston",John Singer Sargent,American,1856,1925,1925,Oil on canvas,13 5/8 x 7 1/4 in. (34.6 x 18.4 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",50.130.1
"Design for side wall and interior treatment for Hershey Theater, Hershey, Pennsylvania",Louis Comfort Tiffany,American,1848,1933,1915,"Watercolor, gouache, pen and black ink, aluminum paint, and graphite on artist board with original shaped window mat",25 9/16 x 31 5/16 in. (65 x 79.5 cm) Other (Design): 23 15/16 x 27 9/16 in. (60.8 x 70 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.11
Number 232,David Reed,American,1946,0,1986,Oil and alkyd on canvas,"H. 36, W. 108 inches (91.4 x 274.3 cm.)",Paintings,"Joseph H. Hazen Foundation Purchase Fund, in honor of Cynthia Hazen Polsky, 1987",1987.333
Palamedes Palamedesz,John Singer Sargent,American,1856,1925,1872,Graphite and gouache on tan wove paper,11 5/8 x 8 7/8 in. (29.5 x 22.5 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.143q
Mrs. John Dart,Jeremiah Theus,MetDoesntKnow,1716,1774,1774,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1967",67.268.2
"Street, Tangier",John Singer Sargent,American,1856,1925,1895,"Watercolor, gouache, and graphite on off-white wove paper",13 15/16 x 9 15/16 in. (35.4 x 25.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",50.130.41
Nastasya Burns the Money,Boardman Robinson,MetDoesntKnow,1876,1952,1933,Tempera on paper,13 1/4 x 17 7/8 in. (33.7 x 45.4 cm),Drawings,"Gift of 134 Artists, 1950",50.51.4
Portrait of a Gentleman,Charles Willson Peale,American,1741,1827,1775,Oil on canvas,9 3/4 x 7 7/8 in. (24.8 x 20 cm),Paintings,"Fletcher Fund, 1926",26.129.1
Interrogation,Ali Banisadr,Iranian,1976,0,2010,Oil on linen,H. 48 in. (121.9 cm) W. 60 in. (152.4 cm),Paintings,"Purchase, 2011 NoRuz at the Met Benefit, 2012",2012.38
Design for a window,Louis Comfort Tiffany,American,1848,1933,1910,"Watercolor, gouache, pencil, and black ink",11 9/16 x 5 7/8 in. (29.4 x 14.9 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.436
Symbolic Landscape,Theodoros Stamos,American,1922,1997,1947,"Watercolor, ink, gouache, and pastel on paper","H. 22-1/2, W. 31 inches (57.2 x 78.7 cm.)",Drawings,"From the Collection of Dr. and Mrs. Samuel Ernest Sussman, Bequest of Blanche Risa Sussman, 1990",1991.129.7
Self-Portrait,Horace Pippin,American,1888,1946,1944,"Oil on canvas, adhered to cardboard",8 1/2 x 6 1/2in. (21.6 x 16.5cm),Paintings,"Bequest of Jane Kendall Gingrich, 1982",1982.55.7
"The Fable of the Miller, His Son, and the Donkey",Elihu Vedder,American,1836,1923,1868,Oil on canvas,6 1/2 x 10 3/4 in. (16.5 x 27.3 cm),Paintings,"Gift of John V. and Enza Tomassi Kiskis, 1992",1992.205.3
The Bridge at Grez,Robert W. Vonnoh,American,1858,1933,1911,Oil on canvas,36 1/2 x 51 3/8 in. (92.7 x 130.5 cm),Paintings,"Gift of Mrs. Louis Lewison, 1970",1970.149
Sapphire Skin,Richmond Burton,American,1960,0,1993,Oil and graphite on canvas,"Triptych (overall size): H. 74-1/8, W. 94-1/4 inches (188.3 x 239.4 cm.)",Paintings,"Purchase, Dr. and Mrs. Robert E. Carroll Gift, 1993",1993.417a-c
Portrait of a Gentleman,Joseph Wood,MetDoesntKnow,1778,1830,1812,Watercolor on ivory in gilded copper case; hair reserve verso,2 7/8 x 2 5/16 in. (7.2 x 5.9 cm),Paintings,"Dale T. Johnson Fund, 2006",2006.235.278
View of the City of New York and Governors Island Taken from Brooklyn Heights on the Morning after the Conflagration,Nicolino Calyo,MetDoesntKnow,1799,1884,0,"Watercolor, gouache on off-white wove paper",19 5/8 x 25 5/8 in. (49.8 x 65.1 cm),Drawings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.174
Tung Dynast,Herb Aach,American,1923,1985,1960,Oil on canvas,"H. 90, W. 68 inches (228.6 x 172.7 cm.)",Paintings,"Gift of Doris Aach, 1988",1988.339
Mitered Square Prospectus,Josef Albers,MetDoesntKnow,1888,1976,0,Handprinted screen miniature,image: 5 1/16 x 5 1/16 in. (12.8 x 12.8 cm) sheet: 8 x 8 in. (20.3 x 20.3 cm),Prints,"Gift of Tyler Graphics, Ltd., 1976.",1976.678.1
Puerto Rican Landscape,Carlos Osorio,MetDoesntKnow,1927,1984,1973,"Acrylic, sand, and oil on canvas","H. 40, W. 50 inches (101.6 x 127 cm.)",Paintings,"Rogers Fund, 1973",1973.261
Gift Wrapped Doll #16,James Rosenquist,American,1933,0,1992,Oil on canvas,"H. 60, W. 60 inches (152.4 x 152.4 cm.)",Paintings,"Purchase, Lila Acheson Wallace Gift, 1993",1993.340.1
In the Museum II,Benjamin Knotts,American,1898,1965,1943,Ink and oil on paper,"H. 8-3/8, W. 7-7/8 inches (21.3 x 20 cm.)",Drawings,"Gift of Albert Ten Eyck Gardner, 1967",67.76.2
Magic Box,Kenneth Noland,American,1924,2010,1959,Magna on canvas,"H. 96, W. 96 inches (243.8 x 243.8 cm.)",Paintings,"Purchase, Anonymous Gift, 1977",1977.8
"Movement No. 5, Provincetown Houses",Marsden Hartley,American,1877,1943,1916,Oil and charcoal on paperboard (Beaver Board),20 x 16 in. (50.8 x 40.6 cm),Paintings,"Alfred Stieglitz Collection, 1949",49.70.43
Circle in the Square,Joseph Delaney,American,1904,1991,1940,Oil on Masonite,"H. 36, W. 24 1/8 in. (91.4 x 61.3 cm)",Paintings,"Arthur Hoppock Hearn Fund, 1992",1992.350
Copse,Judy Ledgerwood,American,1959,0,1988,Oil and encaustic on canvas,96 x 156 in. (243.8 x 396.2cm),Paintings,"Purchase, Leonard A. Lauder Gift, 1990",1990.1
Girl on a Swing,Maxfield Parrish,American,1870,1966,0,Oil on paper,null,Drawings,"Bequest of Susan Vanderpoel Clark, 1967",67.155.3
Number 3,John McLaughlin,American,1898,1976,1970,Acrylic on canvas,"H. 60, W. 48 inches (152.4 x 121.9 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1976",1976.95
Mrs. Thomas Streatfield Clarkson (Elizabeth Van Horne),Thomas Seir Cummings,MetDoesntKnow,1804,1894,1844,Watercolor on ivory,3 7/8 x 3 in. (9.8 x 7.6 cm),Paintings,"Gift of Mr. and Mrs. William A. Moore, 1923",23.80.83
The Old Mill (Vieux Moulin),Theodore Robinson,MetDoesntKnow,1852,1896,1892,Oil on canvas,18 x 21 7/8 in. (45.7 x 55.6 cm),Paintings,"Gift of Mrs. Robert W. Chambers, 1910",10.2
Thomas Willing,Charles Willson Peale,American,1741,1827,1782,Oil on canvas,49 1/2 x 39 3/4 in. (125.7 x 101 cm),Paintings,"Gift of Dr. Ernest G. Stillman, by exchange, 1966",66.46
Once,Elizabeth Murray,American,1940,2007,1978,Oil on canvas,"H. 51-1/2, W. 57 inches (130.8 x 144.8 cm.)",Paintings,"Gift of Ruth Klein, 1988",1988.418.1
Adoration of the Magi,Louis Comfort Tiffany,American,1848,1933,1916,"Watercolor, gouache, pen and ink, and graphite on pebble finish matt board in original decorated matt with shaped tracery window openings",Overall: 21 3/8 x 30 1/4 in. (54.3 x 76.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.319
"Design for Buffalo Theater, Buffalo, New York",Louis Comfort Tiffany,American,1848,1933,1926,"Watercolor, gouache, black ink, and graphite on off-white wove paper",26 11/16 x 39 9/16 in. (67.8 x 100.5 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",67.654.3
Self-Portrait at the Age of Nine,Arshile Gorky,MetDoesntKnow,1904,1948,1928,Oil on canvas,12 1/4 x 10 1/4 in. (31.1 x 26 cm),Paintings,"Gift of Leon Constantiner, 2002",2002.145
Rush Hour,George Condo,American,1957,0,2010,"Acrylic, graphite, charcoal, and pastel on canvas",83 5/16 x 73 1/8 x 3 1/2 in. (211.6 x 185.7 x 8.9 cm),Paintings,"George A. Hearn Fund, 2011",2011.306
"Lake Como, May 1, 1869 (from Sketchbook)",Jervis McEntee,American,1828,1891,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1982.217.6 verso
Celia's Arbor,Lilian Westcott Hale,American,1881,1963,1910,Oil on canvas,22 1/4 x 18 3/4 in. (56.5 x 47.6 cm),Paintings,"Arthur Hoppock Hearn Fund, 1924",24.59.2
"Autumn Landscape, Sugar Loaf Mountain, Orange County, New York",Jasper Francis Cropsey,American,1823,1900,1875,Oil on canvas,28 1/2 x 35 1/2 in. (72.4 x 90.2 cm),Paintings,"Purchase, The Bertram F. and Susie Brummer Foundation Inc. Gift, 1961",61.262
Seder,Mark Podwal,American,1945,0,2003,"Acrylic, gouache, and colored pencil on paper",19 x 18 in. (48.3 x 45.7 cm),Drawings,"Funds from various donors, 2003",2003.469
"Christmas-Time, The Blodgett Family",Eastman Johnson,American,1824,1906,1864,Oil on canvas,30 x 25in. (76.2 x 63.5cm) Framed: 41 5/8 ?36 3/4 ?5 in. (105.7 ?93.3 ?12.7 cm),Paintings,"Gift of Mr. and Mrs. Stephen Whitney Blodgett, 1983",1983.486
"Evening at Medfield, Massachusetts",George Inness,American,1825,1894,1875,Oil on canvas,38 x 63 1/8 in. (96.5 x 160.3 cm),Paintings,"Gift of George A. Hearn, 1910",10.64.6
Different Situations I,Warren Rohrer,American,1927,0,1983,Oil on canvas,36 3/8 x 36 1/4in. (92.4 x 92.1cm),Paintings,"Hugo Kastor Fund, 1983",1983.591
"View near Sherburne, Chenango County, New York",Jasper Francis Cropsey,American,1823,1900,1853,Oil on canvas,33 1/8 x 48 3/8 in. (84.1 x 122.9 cm),Paintings,"Bequest of Sarah Ann Ludlum, 1877",77.3.2
Ferdinand Sands and his Eldest Son Joseph Sands,Nathaniel Rogers,American,1788,1844,0,Watercolor on ivory,3 7/8 x 2 7/8 in. (9.8 x 7.3 cm),Paintings,"Gift of Gloria Manney, 2006",2006.235.320
After Sir Christopher Wren,Charles Demuth,American,1883,1935,1920,"Watercolor, gouache, and graphite on cardboard","H. 24, W. 20 inches (60.5 x 51 cm.)",Drawings,"Bequest of Scofield Thayer, 1982",1984.433.156
Annie Sargent Jewett,Follower of Maurice Brazil Prendergast,American,1858,1924,1905,Oil on board,21 3/4 x 15 in. (55.2 x 38.1 cm),Paintings,"Bequest of Esther Williams McKinney, 1970",1970.123.2
Heart of the Andes,Frederic Edwin Church,American,1826,1900,1859,Oil on canvas,66 1/8 x 119 1/4in. (168 x 302.9cm),Paintings,"Bequest of Margaret E. Dows, 1909",09.95
Near Hebron,Marguerite Zorach,American,1887,1968,1911,Oil on canvas,"H. 20, W. 24 inches (50.8 x 61 cm.)",Paintings,"Anonymous Gift, 1979",1979.222
Virginia City Barn,Cameron Booth,American,1892,1980,1936,Gouache on paper,15 1/4 x 19 1/4in. (38.7 x 48.9cm),Drawings,"Rogers Fund, 1941",41.200
A Fisherman,Eastman Johnson,American,1824,1906,0,Brown inks on tan-color sized canvas,9 x 8 1/4 in. (23 x 21 cm),Paintings,"Rogers Fund, 1946",46.22.1
Charles Sumner,William Morris Hunt,American,1824,1879,1875,Oil on canvas,22 x 27 in. (55.9 x 68.6 cm),Paintings,"Amelia B. Lazarus Fund, 1925",25.182
Allegory,Bob Thompson,American,1937,1966,1960,Oil on canvas,"H. 60, W. 71 inches (152.4 x 180.3 cm.)",Paintings,"George A. Hearn Fund, 1981",1981.284
View Across the Thames from St. Thomas,John Bellany,British,1942,0,1989,Oil on canvas,60 x 68 in. (152.4 x 172.7 cm),Paintings,"Gift of Patricia and Morris Orden, 2000",2000.646
Inner Edge,Helen Frankenthaler,American,1928,2011,1966,Acrylic on canvas,"H. 42-7/8, W. 38-5/8 inches (108.9 x 98.1 cm.)",Paintings,"Gift of Mr. and Mrs. Alexander Liberman, 1993",1993.498.1
Vase of Flowers,Preston Dickinson,American,1889,1930,1926,Oil on canvas,30 1/4 x 18 3/8in. (76.8 x 46.7cm) 37 x 25 x 1 3/4 in. (94 x 63.5 x 4.4 cm) (Frame),Paintings,"Gift of Carl D. Lobell, 1995",1995.547.3
Nocturne (The General Motors Building at Columbus Circle),O. Louis Guglielmi,MetDoesntKnow,1906,1956,1931,Oil on canvas,"H. 35-1/8, W. 20 inches (89.2 x 50.8 cm.)",Paintings,"Gift of Carl D. Lobell, 1995",1995.226.4
The Jitney,John Sloan,American,1871,1951,1915,Oil on canvas,20 x 24 in. (50.8 x 61 cm),Paintings,"George A. Hearn Fund, 1940",40.122
Moses Shown the Promised Land,Benjamin West,American,1738,1820,1801,Oil on wood,19 3/4 x 28 3/4 in. (50.2 x 73 cm),Paintings,"Gift of Mr. and Mrs. James W. Fosburgh, by exchange, 1969",69.73
"View of San Francisco, Number 2",Peter Saul,American,1934,0,1988,Oil and acrylic on canvas,"H. 66, W. 108 inches (167.6 x 274.3 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1988",1988.312
New Jersey Beach,William Trost Richards,American,1833,1905,1901,Oil on canvas,28 1/4 x 48 1/4 in. (71.8 x 122.6 cm),Paintings,"Gift of Mrs. William T. Brewster, 1932",32.73.1
Mrs. Joseph Anthony Jr. (Henrietta Hillegas),Gilbert Stuart,American,1755,1828,1798,Oil on canvas,30 x 23 3/8 in. (76.2 x 59.4 cm),Paintings,"Rogers Fund, 1905",05.40.2
Street Cafe桽an Felio de Quixols,F. Luis Mora,MetDoesntKnow,1874,1940,0,"Watercolor, gouache on dark brown Japanese paper",12 3/4 x 9 13/16 in. (32.4 x 24.9 cm),Drawings,"Gift of Mr. and Mrs. Walter C. Crawford, 1978",1978.513.2
Portrait of a Lady,Frederick R. Spencer,American,1806,1875,1830,Watercolor on ivory,Sight: 2 5/8 x 2 1/4 in. (6.7 x 5.7 cm),Paintings,"Dale T. Johnson Fund, 2008",2008.97
Nocturne in Green and Gold,James McNeill Whistler,American,1834,1903,1877,Oil on canvas,25 1/8 x 30 3/8 in. (63.8 x 77.2 cm),Paintings,"Gift of Harris C. Fahnestock, 1906",06.286
King of Clubs,Gene Davis,American,1920,1985,1978,Acrylic and graphite on canvas,"H. 115-1/2, W. 179 inches (293.4 x 454.7 cm.)",Paintings,"Gift of James Howard Witt, 1981",1981.148
Fisherman in Gloucester,Alfred Levitt,American,1894,2000,1945,"Watercolor, gouache, and ink on paper","H. 15-3/4, w. 11-3/8 inches (40 x 28.9 cm.)",Drawings,"Gift of the artist, 1985",1985.234.5
Bain de Soleil,Adelaide Milton de Groot,American,1876,1967,1930,Oil on canvas,23 1/2 x 28 3/8 in. (59.7 x 72.1 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",67.187.213
Old Ferry Stairs,William P. Chappel,American,1800,1880,1870,Oil on slate paper,6 1/16 x 9 1/8 in. (15.4 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",54.90.491
General Arthur St. Clair,Charles Willson Peale,American,1741,1827,1780,Watercolor on ivory in gold locket,1 3/4 x 1 3/8 in. (4.4 x 3.5 cm),Paintings,"Morris K. Jesup Fund, 1932",32.110
Portrait of Benjamin Franklin,William P. Babcock,MetDoesntKnow,1826,1899,1880,Oil on wood,5 1/4 x 4 1/8 in. (13.3 x 10.5 cm),Paintings,"Gift of William H. Huntington, 1883",83.2.237
Artist and Model,Sidney Simon,American,1917,1997,1948,Encaustic on canvas,"H. 29, W. 36-3/8 inches (73.7 x 92.4 cm.)",Paintings,"Bequest of Margaret Seligman Lewisohn, in memory of her husband, Sam A. Lewisohn, 1954",54.143.3
Saturday Afternoon,Jervis McEntee,American,1828,1891,1875,Oil on canvas,24 x 45 in. (61 x 114.3 cm),Paintings,"Amelia B. Lazarus Fund, 1913",13.39.2
